Designator,Mid X,Mid Y,Layer,Rotation
C1,131.0005,-82.3341,top,0
C2,139.3063,-83.8073,top,90
C3,130.2258,-96.93148,top,0
C4,135.0645,-79.7941,top,90
C5,135.23468,-83.4136,top,90
D3,137.327,-84.2352,top,90
D4,135.15848,-93.85808,top,180
IC1,131.9149,-79.8068,top,0
IC4,130.69824,-94.09176,top,180
Q1,130.9497,-84.8868,top,0
R4,133.68528,-83.44916,top,90
R6,137.033,-96.9518,top,0
R8,139.45616,-98.2472,top,90
R9,139.45616,-101.7016,top,270
U1,137.88136,-80.0352,top,90
U3,131.5212,-77.3811,top,180
U4,138.2014,-77.1525,top,180
