Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",169.150000,-103.850000,180.000000,top
"C2","1uF","C_0603_1608Metric",166.585900,-104.787700,90.000000,top
"C3","1uF","C_0603_1608Metric",154.800300,-107.480100,270.000000,top
"C4","10uF","C_0805_2012Metric",163.715700,-103.924100,270.000000,top
"C5","1uF","C_0603_1608Metric",154.952700,-103.365300,270.000000,top
"C6","10uF","C_0805_2012Metric",158.229300,-107.632500,0.000000,top
"J3","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",190.600000,-105.200000,90.000000,top
"R1","17K4","R_0603_1608Metric",161.925000,-100.025200,0.000000,top
"R2","10K","R_0603_1608Metric",158.813500,-100.025200,180.000000,top
"R3","100K","R_0603_1608Metric",162.852100,-107.454700,0.000000,top
"U1","W25Q128JV","SOIC-8_5.23x5.23mm_P1.27mm",172.200000,-99.900000,180.000000,top
"U2","MCP1253-ADJI_MS","MCP1253-ADJI_MS",159.461200,-104.571800,180.000000,top
